city_title,friends_count,cords
Москва,72,"[55.755864, 37.617698]"
Челябинск,2,"[55.159902, 61.402554]"
Barcelona,1,"[41.386378, 2.186760]"
Ульяновск,1,"[54.314192, 48.403132]"
Тамбов,1,"[52.721295, 41.452750]"
Саратов,1,"[51.533338, 46.034176]"
Рязань,1,"[54.629221, 39.737111]"
Рыбинск,1,"[58.048640, 38.855711]"
Пушкино,1,"[56.011318, 37.847164]"
Петровск,1,"[52.314028, 45.389940]"
Орёл,1,"[52.970756, 36.064358]"
Мытищи,1,"[55.909968, 37.736743]"
Copenhagen,1,"[55.680671, 12.586098]"
Краснодар,1,"[45.035470, 38.975313]"
Калуга,1,"[54.513678, 36.261341]"
Зеленоград,1,"[55.991893, 37.214390]"
Домодедово,1,"[55.437174, 37.768004]"
Воскресенск,1,"[55.322978, 38.673362]"
Витебск,1,"[55.184217, 30.202878]"
Астрахань,1,"[46.347614, 48.030178]"
Toronto,1,"[43.665208, -79.392710]"
Derry,1,"[42.882001, -71.324787]"
Шахты,1,"[47.709237, 40.215401]"
